game_date,pitcher_name,opponent,ballpark,fantasy_points,last_start_fp,season_avg_fp_prior,streamer_category
5/23/2025,Clayton Kershaw,NYM,NYM,6,-4,-4,Do Not Start
5/28/2025,Clayton Kershaw,CLE,CLE,8,6,1,Do Not Start
6/3/2025,Clayton Kershaw,NYM,LAD,-0.4,8,3.333333333,Do Not Start
6/8/2025,Clayton Kershaw,STL,STL,19,-0.4,2.4,Do Not Start
6/14/2025,Clayton Kershaw,SFG,LAD,27,19,5.72,Questionable Start
6/20/2025,Clayton Kershaw,WSN,LAD,13,27,9.266666667,Questionable Start
6/26/2025,Clayton Kershaw,COL,COL,23,13,9.8,Questionable Start
7/2/2025,Clayton Kershaw,CHW,LAD,3,23,11.45,Probably Start
7/8/2025,Clayton Kershaw,MIL,MIL,10,3,10.51111111,Questionable Start
7/20/2025,Clayton Kershaw,MIL,LAD,6.3,10,10.46,Questionable Start
7/26/2025,Clayton Kershaw,BOS,BOS,-1.4,6.3,10.08181818,Do Not Start
8/1/2025,Clayton Kershaw,TBR,TBR,21,-1.4,9.125,Do Not Start
8/8/2025,Clayton Kershaw,TOR,LAD,17,21,10.03846154,Do Not Start
8/15/2025,Clayton Kershaw,SDP,LAD,21,17,10.53571429,NA
8/21/2025,Clayton Kershaw,COL,COL,10.6,21,11.23333333,Questionable Start
8/26/2025,Clayton Kershaw,CIN,LAD,22,10.6,11.19375,Probably Start
9/2/2025,Clayton Kershaw,PIT,PIT,2,22,11.82941176,Probably Start
9/7/2025,Clayton Kershaw,BAL,BAL,19.6,2,11.28333333,Questionable Start
9/13/2025,Clayton Kershaw,SFG,SFG,-6,19.6,11.72105263,Probably Start
9/19/2025,Clayton Kershaw,SFG,LAD,6.3,-6,10.835,Questionable Start
9/28/2025,Clayton Kershaw,SEA,SEA,22.3,6.3,10.61904762,Do Not Start
7/28/2025,Rich Hill,ATL,KCR,-2,6,6,Do Not Start
4/6/2025,Martin Perez,DET,DET,14.3,29,29,Questionable Start
4/12/2025,Martin Perez,BOS,CHW,4.6,14.3,21.65,Questionable Start
4/18/2025,Martin Perez,BOS,BOS,-6,4.6,15.96666667,Do Not Start
8/20/2025,Martin Perez,ATL,ATL,17.3,-6,10.475,Do Not Start
8/26/2025,Martin Perez,KCR,CHW,25,17.3,11.84,Do Not Start
8/31/2025,Martin Perez,NYY,CHW,14,25,14.03333333,Do Not Start
9/6/2025,Martin Perez,DET,DET,-8,14,14.02857143,Questionable Start
9/12/2025,Martin Perez,CLE,CLE,9.6,-8,11.275,Questionable Start
9/17/2025,Martin Perez,BAL,CHW,-1.4,9.6,11.08888889,Questionable Start
4/4/2025,Justin Verlander,SEA,SFG,-4.7,9,9,Probably Start
4/9/2025,Justin Verlander,CIN,SFG,6.6,-4.7,2.15,Probably Start
